filename,contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,entropy_0,entropy_45,entropy_90,entropy_135,asm_0,asm_45,asm_90,asm_135
file_0,-1020074720,785703771,-805785981,1521169204,162310050,171820219,177978525,129586008,29280.19486593506,14444.1959577919,22074.755950969557,22219.60558752288,7580,1505562,7569,1509005,0.999999999999951,0.9999999999999394,0.9999999999999372,0.9999999999999494,-10710708.30643676,-8786973.00668797,-10695165.06219259,-8802950.67733754,7580,1505562,7569,1509005
file_4,926050597,1752321748,566280533,2025732524,237170655,181790938,219765885,189045612,22554.563059948498,25337.90895152356,26688.018368712037,20906.803068767444,9482,1751948,9447,1752958,0.9999999999999432,0.9999999999999413,0.9999999999999485,0.9999999999999442,-13398276.538474059,-10396001.022130996,-13348820.76133352,-10402484.063786253,9482,1751948,9447,1752958
file_3,1005259973,1775968224,697884502,1952794999,221850255,187614696,236109600,183014409,24619.883202117308,22159.13655708061,24473.831929729517,23098.295187188618,9486,1752371,9464,1755332,0.999999999999958,0.999999999999941,0.9999999999999443,0.9999999999999415,-13403928.62729012,-10387771.083492605,-13372842.138801781,-10393135.136993969,9486,1752371,9464,1755332
file_6,-566717618,-532790627,-2008636792,-3319863,222835830,184299869,197906520,141196909,16664.766036563873,10680.798455539523,18552.43178390263,23012.095364624558,8200,1450470,8169,1446472,0.9999999999998981,0.9999999999999034,0.999999999999933,0.9999999999999327,-11586782.07292631,-8740176.489497088,-11542978.384601833,-8711024.853577072,8200,1450470,8169,1446472
file_1,-205173006,1575584966,-803917595,1262838941,181080600,130150312,163621005,174176063,22222.86589466811,21784.134801101038,29948.782035761553,13753.040894786174,7630,1507569,7626,1506851,0.9999999999999222,0.9999999999999476,0.9999999999999163,0.9999999999998901,-10781359.41663753,-8852817.200441392,-10775707.327821469,-8850418.188230544,7630,1507569,7626,1506851
file_5,1160743927,2131786413,820079738,1942864207,238499205,184269429,221031960,188981183,23680.656052744962,23560.123663703875,24208.111742023375,22388.36112896384,9550,1753432,9465,1752970,0.9999999999999395,0.9999999999999503,0.9999999999999644,0.9999999999999534,-13494362.048347106,-10467951.237204535,-13374255.161005797,-10466680.569263661,9550,1753432,9465,1752970
file_2,-397648536,1516040888,-1059453605,860824770,179978490,129574424,162522975,172496400,22227.926278430168,21914.977555939364,27740.848285385095,14221.034732745931,7623,1511554,7608,1511455,0.9999999999999342,0.9999999999999474,0.9999999999999591,0.9999999999999374,-10771468.261209423,-8832267.495068746,-10750272.928149192,-8834957.253670657,7623,1511554,7608,1511455
file_7,-2105014552,-102006304,-529247918,-840506646,197557170,140511244,221752590,182373834,18203.122984700065,22971.745462079005,16655.636198878947,10622.282170798619,8179,1446036,8126,1445984,0.9999999999999304,0.9999999999999399,0.9999999999999313,0.9999999999999011,-11557108.606641987,-8650296.332823223,-11482218.42982917,-8657753.644963974,8179,1446036,8126,1445984
file_8,-2000031817,68273359,-801083528,-445687748,198052635,141925757,221234430,184500118,18587.697561615743,22735.85817857926,16943.999413845228,10298.316935526282,8169,1439108,8156,1437323,0.9999999999999238,0.9999999999999218,0.9999999999999042,0.9999999999998982,-11542978.384601833,-8731766.814951178,-11524609.095949633,-8727421.238348007,8169,1439108,8156,1437323
file_15,832610187,-1465863621,-1205522957,-1231549370,87057765,62057193,66842385,63743436,9217.424579483644,10987.472977443449,11755.567858090057,7052.836995022164,3560,659079,3560,659352,0.9999999999996513,0.9999999999996716,0.9999999999997055,0.9999999999995929,-5030359.046294837,-3908267.398975302,-5030359.046294837,-3908177.114840357,3560,659079,3560,659352
